## Exporter_Queue_Usage
ラベル: data_type=traces, exporter=otlp, instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/exporter/exporterhelper
説明: Exporter: キュー使用率
単位: ratio

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-13 09:19:25, 0, 0.00%
2026-03-13 09:19:40, 0, 0.00%
2026-03-13 09:19:55, 0, 0.00%
2026-03-13 09:20:10, 0, 0.00%
2026-03-13 09:20:25, 0, 0.00%
2026-03-13 09:20:40, 0, 0.00%
2026-03-13 09:20:55, 0, 0.00%
2026-03-13 09:21:10, 0, 0.00%
2026-03-13 09:21:25, 0, 0.00%
2026-03-13 09:21:40, 0.008, 0.80%
2026-03-13 09:21:55, 0.004, 0.40%
2026-03-13 09:22:10, 0.024, 2.40%
2026-03-13 09:22:25, 0.044, 4.40%
2026-03-13 09:22:40, 0.052, 5.20%
2026-03-13 09:22:55, 0.052, 5.20%
2026-03-13 09:23:10, 0.052, 5.20%
2026-03-13 09:23:25, 0.052, 5.20%
2026-03-13 09:23:40, 0.052, 5.20%
2026-03-13 09:23:55, 0.052, 5.20%
2026-03-13 09:24:10, 0.052, 5.20%
2026-03-13 09:24:25, 0.052, 5.20%
2026-03-13 09:24:40, 0.052, 5.20%
2026-03-13 09:24:55, 0.052, 5.20%
2026-03-13 09:25:10, 0.052, 5.20%
2026-03-13 09:25:25, 0.052, 5.20%
2026-03-13 09:25:40, 0.052, 5.20%
2026-03-13 09:25:55, 0.052, 5.20%
2026-03-13 09:26:10, 0.052, 5.20%
2026-03-13 09:26:25, 0.052, 5.20%
2026-03-13 09:26:40, 0.047, 4.70%
2026-03-13 09:26:55, 0, 0.00%
