## Receiver_Refused_Spans_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/receiver/receiverhelper, receiver=otlp, transport=grpc
説明: Receiver: 拒否されたSpansのレート
クエリ: rate(otelcol_receiver_refused_spans_total{job="otel-collector-self"}[1m])
単位: ops

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 16:56:35, 0, 0.00/s
2026-03-27 16:56:50, 0, 0.00/s
2026-03-27 16:57:05, 0, 0.00/s
2026-03-27 16:57:20, 0, 0.00/s
2026-03-27 16:57:35, 0, 0.00/s
2026-03-27 16:57:50, 0, 0.00/s
2026-03-27 16:58:05, 0, 0.00/s
2026-03-27 16:58:20, 0, 0.00/s
2026-03-27 16:58:35, 0, 0.00/s
2026-03-27 16:58:50, 0, 0.00/s
2026-03-27 16:59:05, 0, 0.00/s
2026-03-27 16:59:20, 0, 0.00/s
2026-03-27 16:59:35, 0, 0.00/s
2026-03-27 16:59:50, 0, 0.00/s
2026-03-27 17:00:05, 0, 0.00/s
2026-03-27 17:00:20, 0, 0.00/s
2026-03-27 17:00:35, 0, 0.00/s
2026-03-27 17:00:50, 0, 0.00/s
2026-03-27 17:01:05, 0, 0.00/s
2026-03-27 17:01:20, 0, 0.00/s
2026-03-27 17:01:35, 0, 0.00/s
2026-03-27 17:01:50, 0, 0.00/s
2026-03-27 17:02:05, 0, 0.00/s
2026-03-27 17:02:20, 0, 0.00/s
2026-03-27 17:02:35, 0, 0.00/s
2026-03-27 17:02:50, 0, 0.00/s
2026-03-27 17:03:05, 0, 0.00/s
2026-03-27 17:03:20, 0, 0.00/s
2026-03-27 17:03:35, 0, 0.00/s
2026-03-27 17:03:50, 0, 0.00/s
2026-03-27 17:04:05, 0, 0.00/s
2026-03-27 17:04:20, 0, 0.00/s
2026-03-27 17:04:35, 0, 0.00/s
2026-03-27 17:04:50, 0, 0.00/s
2026-03-27 17:05:05, 0, 0.00/s
2026-03-27 17:05:20, 0, 0.00/s
2026-03-27 17:05:35, 0, 0.00/s
2026-03-27 17:05:50, 0, 0.00/s
2026-03-27 17:06:05, 0, 0.00/s
2026-03-27 17:06:20, 0, 0.00/s
2026-03-27 17:06:35, 0, 0.00/s
2026-03-27 17:06:50, 0, 0.00/s
2026-03-27 17:07:05, 0, 0.00/s
2026-03-27 17:07:20, 0, 0.00/s
2026-03-27 17:07:35, 0, 0.00/s
2026-03-27 17:07:50, 0, 0.00/s
2026-03-27 17:08:05, 0, 0.00/s
